Document ID,Status,Source Text,Summary,Detected Language,Detected Language Score,Document Sentiment,Document Sentiment +/-
"Apr. 1, 2008 at 10:03 a.m. ET",PROCESSED,Starting the second quarter on an up note,Starting the second quarter on an up note... ,English,0.17058414,0,neutral
"Apr. 1, 2008 at 12:03 p.m. ET",PROCESSED,Major U.S. benchmarks spike from support,Major U.S. benchmarks spike from support... ,English,0.24732679,0,neutral
"Apr. 1, 2009 at 10:19 a.m. ET",PROCESSED,Holy Hindenburg! What Do I Buy Now?,What Do I Buy Now?... ,English,0.17786862,0,neutral
"Apr. 1, 2010 at 12:01 a.m. ET",PROCESSED,It's time to look at trimming exposure,It's time to look at trimming exposure... ,English,0.17442901,0,neutral
"Apr. 1, 2010 at 2:27 p.m. ET",PROCESSED,Metals rally on hopes global recovery gathering steam,Metals rally on hopes global recovery gathering steam... ,English,0.13919884,0.520000041,positive
"Apr. 1, 2013 at 10:11 a.m. ET",PROCESSED,The market in a minute,The market in a minute... ,English,0.11108685,0,neutral
"Apr. 1, 2013 at 11:41 a.m. ET",PROCESSED,"Copper, gold and the Cyclical Fold","Copper, gold and the Cyclical Fold... ",English,0.16963626,0,neutral
"Apr. 1, 2013 at 4:18 p.m. ET",PROCESSED,U.S. stocks slip with manufacturing data,U.S. stocks slip with manufacturing data... ,English,0.21222934,0,neutral
"Apr. 1, 2013 at 5:21 a.m. ET",PROCESSED,Tesla says Model S sales exceed targets,Tesla says Model S sales exceed targets... ,English,0.25030556,0,neutral
"Apr. 1, 2013 at 7:54 p.m. ET",PROCESSED,Monday movers: Apple kicks off new quarter in red,Monday movers: Apple kicks off new quarter in red... ,English,0.11584984,0,neutral
"Apr. 1, 2013 at 8:03 a.m. ET",PROCESSED,Tesla shares jump more than 8% pre market,Tesla shares jump more than 8% pre market... ,English,0.66541266,0.600000024,positive
"Apr. 1, 2013 at 8:30 a.m. ET",PROCESSED,"Why sharp fund, ETF gains can cut both ways","Why sharp fund, ETF gains can cut both ways... ",English,0.60228056,0,neutral
"Apr. 1, 2013 at 9:20 a.m. ET",PROCESSED,"With stocks at record highs, ISM data to set tone","With stocks at record highs, ISM data to set tone... ",English,0.17472787,0,neutral
"Apr. 1, 2015 at 5:03 p.m. ET",PROCESSED,Tesla’s April Fools joke pokes fun at Apple,Tesla’s April Fools joke pokes fun at Apple... ,English,0.20763952,0.49000001,positive
"Apr. 1, 2016 at 10:38 a.m. ET",PROCESSED,‘Affordable’ Tesla Model 3 revealed as Elon Musk charges up the crowd,‘Affordable’ Tesla Model 3 revealed as Elon Musk charges up the crowd... ,English,0.17027731,0,neutral
"Apr. 1, 2016 at 12:42 p.m. ET",PROCESSED,Tesla’s Musk teases customers with promise of a ‘super next level’ for Model 3,Tesla’s Musk teases customers with promise of a ‘super next level’ for Model 3... ,English,0.111121066,0.600000024,positive
"Apr. 1, 2016 at 2:22 p.m. ET",PROCESSED,Tesla Model 3 reservations top total 2015 plug-in car sales,Tesla Model 3 reservations top total 2015 plug-in car sales... ,English,0.10929644,0.300000012,positive
"Apr. 1, 2016 at 2:54 p.m. ET",PROCESSED,Income-oriented investing is this year’s biggest winner,Income-oriented investing is this year’s biggest winner... ,English,0.17755163,0.49000001,positive
"Apr. 1, 2016 at 3:01 p.m. ET",PROCESSED,How a major mutual fund blew it and other money stories to read this weekend,How a major mutual fund blew it and other money stories to read this weekend... ,English,0.12880912,0,neutral
"Apr. 1, 2016 at 4:06 p.m. ET",PROCESSED,"The S&P 500, despite recent gains, still isn’t overbought","The S&P 500, despite recent gains, still isn’t overbought... ",English,0.17914288,0.262607396,positive
"Apr. 1, 2016 at 4:27 p.m. ET",PROCESSED,S&P 500 posts biggest weekly gain in a month,S&P 500 posts biggest weekly gain in a month... ,English,0.09990057,0,neutral
"Apr. 1, 2016 at 6:12 a.m. ET",PROCESSED,Tesla’s new Model 3: These Twitter skeptics just ain’t buying it,Tesla’s new Model 3: These Twitter skeptics just ain’t buying it... ,English,0.27318972,-0.75,negative
"Apr. 1, 2016 at 9:13 a.m. ET",PROCESSED,Here’s one possible trigger for a 300-point drop in the S&P 500,Here’s one possible trigger for a 300-point drop in the S&P 500... ,English,0.115203395,0,neutral
"Apr. 1, 2016 at 9:27 a.m. ET",PROCESSED,Tesla shares rally 7% premarket,Tesla shares rally 7% premarket... ,English,0.9999844,0.449999988,positive
"Apr. 1, 2016 at 9:42 a.m. ET",PROCESSED,Shares of Tesla Motors gain 5.7% to $243.16 in early trade,Shares of Tesla Motors gain 5.7% to $243.16 in early trade... ,English,0.11454634,0,neutral
"Apr. 1, 2018 at 11:18 p.m. ET",PROCESSED,NTSB ‘unhappy’ that Tesla disclosed details about fatal crash,NTSB ‘unhappy’ that Tesla disclosed details about fatal crash... ,English,0.4796847,-0.469999999,negative
"Apr. 1, 2019 at 10:00 p.m. ET",PROCESSED,"In Norway, electric cars outsell traditional ones for the first time","In Norway, electric cars outsell traditional ones for the first time... ",English,0.13530163,0,neutral
"Apr. 1, 2019 at 10:15 a.m. ET",PROCESSED,Be Patient Before Buying Lyft Stock. Tesla and 5 Other Big IPOs Show Why.,Be Patient Before Buying Lyft Stock... Tesla and 5 Other Big IPOs Show Why... ,English,0.24350096,0.449999988,positive
"Apr. 1, 2019 at 11:45 a.m. ET",PROCESSED,"S&P 500 spikes from the breakout point, rises to challenge next resistance (2,860)","S&P 500 spikes from the breakout point, rises to challenge next resistance (2,860)... ",English,0.17210948,-0.57249999,negative
"Apr. 1, 2019 at 12:43 p.m. ET",PROCESSED,Tesla Stock Rises on Analyst Bullishness and ‘Amazing’ Delivery Work,Tesla Stock Rises on Analyst Bullishness and ‘Amazing’ Delivery Work... ,English,0.18096414,0,neutral
"Apr. 1, 2019 at 9:31 a.m. ET",PROCESSED,"Forget upbeat Chinese sentiment, this is what’s ‘real’ for investors, says chief UBS economist","Forget upbeat Chinese sentiment, this is what’s ‘real’ for investors, says chief UBS economist... ",English,0.15700255,0.5,positive
"Apr. 1, 2020 at 11:00 a.m. ET",PROCESSED,Tesla Stock Is Dropping Because Tuesday’s Good News May Not Be True,Tesla Stock Is Dropping Because Tuesday’s Good News May Not Be True... ,English,0.22996774,-0.782000065,negative
"Apr. 1, 2020 at 12:00 p.m. ET",PROCESSED,"Charting a bear-market pullback, S&P 500 approaches key support (2,478)","Charting a bear-market pullback, S&P 500 approaches key support (2,478)... ",English,0.09702846,0,neutral
"Apr. 1, 2020 at 3:23 p.m. ET",PROCESSED,The stock market is getting dangerously close to the ‘mother of support zones’,The stock market is getting dangerously close to the ‘mother of support zones’... ,English,0.15917829,-0.49000001,negative
"Apr. 1, 2020 at 6:19 a.m. ET",PROCESSED,"Tesla's stock starts Q2 with 2.6% drop premarket, after rallying 25.3% in Q1","Tesla's stock starts Q2 with 2.6% drop premarket, after rallying 25.3% in Q1... ",English,0.12745595,0.600000024,positive
"Apr. 10, 2008 at 11:16 a.m. ET",PROCESSED,Blue-chip ETFs look undervalued,Blue-chip ETFs look undervalued... ,English,0.37587252,0,neutral
"Apr. 10, 2012 at 9:34 a.m. ET",PROCESSED,"Stocks open lower, extending losses","Stocks open lower, extending losses... ",English,0.72623414,-0.600000024,negative
